Blog	hard	ago	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	minutes	start	already	bad	everything	past	school	myself	wanted	show	maybe	later	hope	half	far	its	th	able	couple	along	side	anything	white	doesn	dinner	tell	remember	trying	red	hot	finally	kids	book	decided	might	must	working	probably	between	favorite	hand	nothing	kind	coming	eat	weeks	enjoy	free	cool	beautiful	someone	sunday	yesterday	stuff	soon	picture	oh	less	point	seems	live	add	saw	ready	won	large	head	man	under	name	second	sweet	real	easy	early	comes	months	summer	birthday	trip	taking	green	idea	pictures	watch	outside	yes	especially	story	told	person	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	friday	sometimes	month	black	hour	wasn	fact	perfect	believe	mom	fresh	buy	lots	play	visit	bring	wait	check	weather	cup	lunch	needed	store	however	stop	several	four	cut	children	reading	run	front	recipe	thinking	looks	turn	special	late	bought	local	rather	isn	party	thanks	close	goes	guess	car	taken	cream	wonderful	gave	money	usually	either	share	living	line	ones	asked	sugar	short	others	warm	tried	looked	case	girl	baby	list	job	stay	turned	tomorrow	evening	simple	couldn	change	city	season	heart	haven	anyone	mother	face	means	walk	bed	area	order	young	kitchen	thank	amazing	monday	chocolate	cheese	interesting	loved	fine	town	spring	anyway	table	above	mean	please	christmas	taste	become	inside	feeling	tonight	felt	butter	c	talk	gone	care	reason	eating	behind	fall	knew	heat	etc	gets	heard	ask	brought	seem	books	worth	lost	although	group	cake	across	playing	cook	five	busy	chicken	coffee	boy	photo	watching	paper	amp	perhaps	oil	country	true	given	bread	ice	important	music	ok	spend	st	bowl	nbsp	meal	movie	ground	winter	number	salt	known	sun	door	sister	style	including	afternoon	extra	god	mix	word	cooking	dry	longer	wish	piece	milk	cute	words	dark	experience	low	huge	guy	air	clean	worked	hear	enjoyed	rain	write	sit	works	pick	com	blue	quickly	move	wine	box	brown	bag	talking	waiting	class	eyes	running	plan	woman	fruit	eggs	news	delicious	hands	near	tree	garden	plus	american	baking	office	pieces	finished	drink	company	age	size	sitting	sort	gift	kept	middle	note	e	sleep	cover	photos	wrong	mine	game	child	lovely	added	excited	wouldn	street	dad	restaurant	pm	needs	miss	egg	takes	except	ingredients	state	cups	hit	simply	business	type	break	flour	husband	drive	future	church	learn	parents	snow	minute	says	fast	quick	due	sauce	oven	breakfast	forward	park	learned	lives	certainly	moment	serve	recently	following	completely	shopping	glass	road	matter	color	dish	seeing	moved	problem	pepper	center	b	wonder	sense	phone	met	salad	available	non	happened	pan	whatever	leaves	deal	space	girls	view	men	body	stand	holiday	song	seemed	history	picked	saying	understand	art	bottom	mixture	super	possible	form	played	places	p	shop	women	single	pay	amount	giving	site	rice	process	french	crazy	boys	below	bake	event	meet	finish	price	garlic	watched	starting	main	against	walking	tea	funny	hold	chance	recipes	writing	project	served	six	market	x	soup	juice
A Sailing Journey	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	2	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	2	0	0	0	0	0	1	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Calm In The Kitchen	2	1	0	14	0	0	2	1	0	3	0	2	0	1	10	18	1	1	0	8	0	0	1	6	0	6	0	1	5	1	1	3	0	1	0	2	3	8	3	2	1	2	3	2	2	0	1	2	2	0	0	1	1	0	2	4	2	5	0	2	1	9	0	11	0	2	2	1	1	2	1	1	2	0	1	0	32	0	2	2	10	2	0	1	1	0	7	0	4	0	5	0	0	3	0	2	1	2	2	0	0	0	0	0	0	3	4	3	4	0	3	1	1	7	0	2	0	1	1	0	2	0	8	4	1	5	1	4	0	0	3	2	1	1	2	1	1	4	1	39	0	1	2	5	1	0	0	5	0	1	1	0	42	1	0	2	1	0	0	1	1	3	0	0	0	1	1	0	0	19	1	0	0	2	0	1	0	4	1	0	28	0	1	2	0	0	1	1	0	0	0	0	4	1	0	5	1	0	0	0	0	3	1	2	1	1	0	0	1	0	0	13	0	0	4	19	18	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	28	0	0	0	1	2	1	0	1	1	8	0	0	1	0	0	0	0	1	1	1	2	0	2	0	7	0	0	21	0	1	0	0	4	11	0	5	0	1	0	3	3	0	1	0	0	0	4	0	1	0	2	0	0	17	0	1	0	1	1	0	0	2	0	12	1	9	1	0	1	2	3	0	0	0	0	6	2	0	0	2	0	0	0	0	0	0	0	0	1	5	0	0	3	0	9	0	2	1	1	0	0	0	0	0	11	0	5	1	0	0	0	0	0	11	0	2	1	0	1	0	2	2	0	0	0	0	0	0	0	3	0	3	2	0	0	1	2	6	0	0	0	0	0	2	0	7	3	2	6	0	16	0	0	0	1	0	14	3	0	0	0	0	0	0	1	3	1	1	0	8	13	0	0	0	0	0	0	0	4	0	0	1	0	2	0	1	2	5	1	0	0	4	0	0	0	0	0	1	1	0	0	0	7	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	3	20	2	1	1	0	0	2	0	0	0	0	1	0	4	8	0	0	1	0	0	10	0	0	1	0	2	0	0	0	0	0	0	1	0	0	5	0	0	2	2	0	0	4	0
makarios:  blessed	2	1	4	0	0	0	1	1	1	3	1	2	1	2	1	3	3	0	0	1	0	1	4	0	1	1	0	2	0	1	0	0	2	0	1	0	0	0	1	1	1	0	0	2	0	0	2	0	0	0	4	1	1	0	0	2	2	2	0	0	1	0	2	2	2	0	1	0	0	1	0	1	0	0	0	0	1	0	0	4	0	2	1	0	4	0	0	2	0	1	0	1	0	0	0	2	1	0	1	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	3	1	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	8	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	3	2	0	0	0	1	0	0	1	1	0	0	1	2	0	2	0	0	2	1	1	0	1	3	0	0	1	1	0	0	1	0	2	1	2	1	2	1	0	1	0	0	0	4	0	1	0	0	2	0	0	2	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	0	1	8	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	9	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	3	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	2	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	2	0	1	0	4	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0
Tea Obsession	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	6	0	0	0	0	0	0	1	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	2	0	3	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	64	0	1	0	0	0	0	3	0	0	0	1	0
Nirmala's Cooking Corner	5	2	3	4	5	4	3	2	3	2	8	2	3	1	0	59	3	1	5	6	0	1	5	3	0	0	1	1	9	0	5	2	1	1	1	3	11	2	4	7	7	2	2	13	5	0	0	1	7	3	3	5	5	4	7	3	4	1	2	24	2	4	4	0	0	1	0	1	6	1	4	1	9	3	1	1	43	1	1	2	13	2	0	0	0	1	6	3	9	4	3	2	4	0	0	1	11	0	1	2	5	1	2	0	0	1	1	7	1	1	0	0	1	3	1	0	1	3	2	4	0	8	1	10	1	2	2	5	4	10	17	4	4	0	1	4	0	0	2	27	4	2	14	1	3	0	2	7	1	1	0	1	42	1	3	5	0	1	5	4	2	2	0	0	0	0	2	0	1	6	6	3	1	0	0	1	0	0	0	0	22	0	1	1	6	5	2	0	1	6	1	1	5	0	3	9	5	2	0	8	0	0	2	1	0	0	0	0	0	1	2	5	2	1	1	4	13	0	0	6	0	3	4	0	4	4	1	0	19	2	2	0	1	1	16	20	1	1	1	3	19	0	2	2	26	2	3	2	0	4	2	0	2	0	0	0	0	4	0	26	3	1	3	0	0	0	0	2	2	3	22	0	1	2	4	1	2	0	2	2	0	9	0	6	0	12	6	2	13	0	0	1	2	2	1	0	0	0	3	0	30	7	4	1	5	15	0	0	1	1	14	3	0	0	0	3	1	1	0	6	1	0	1	2	1	3	0	0	2	22	0	0	1	0	2	1	0	1	9	2	0	4	5	1	0	2	3	5	6	2	0	0	1	0	1	1	1	1	0	0	0	1	2	1	7	0	6	2	0	0	0	10	2	1	0	4	2	0	1	1	2	2	2	25	1	16	0	1	0	0	1	4	0	0	0	0	1	0	0	2	1	1	5	0	21	7	7	1	0	4	0	1	1	9	1	2	1	0	0	0	0	7	32	0	1	0	15	1	0	1	0	0	0	2	7	8	1	13	5	0	1	1	0	0	0	0	1	0	0	0	0	4	2	1	0	3	3	1	1	1	0	2	2	0	0	0	0	2	0	0	32	3	0	0	0	1	7	0	0	0	1	13	0	1	0	1	3	0	0	2	0	13	0	0	3	0	0	3	1	3
The Adventure's of Seals	1	0	0	0	0	1	0	0	0	1	1	0	0	5	0	1	2	0	0	0	0	0	4	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
steeped insanity	0	2	0	0	2	0	5	1	0	1	0	0	0	0	2	0	1	2	2	0	0	0	1	5	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	6	0	1	2	0	5	1	1	1	1	2	2	0	0	0	3	3	1	2	0	3	2	0	1	1	2	0	2	1	0	1	3	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	3	0	0	2	0	2	2	0	1	0	1	1	1	1	0	1	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	3	1	0	0	0	1	0	0	1	0	3	1	2	3	5	0	0	2	0	0	0	4	2	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	3	1	0	0	0	1	3	0	1	1	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	2	3	0	0	0	1	0	1	1	0	0	0	0	0	4	0	1	0	1	0	0	0	0	1	9	2	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	2	1	0	1	3	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	1	1	1	0	0	2	0	0	1	0	2	2	1	1	0	0	0	0	0	0	0	2	0	0	0	4	0	2	0	0	0	0	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0	2	2	0	1	0	0	4	0	1	0	0	0	0	0	1	1	0	1	0	0	2	0	1	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	6	0	0	1	0	0	0	0	1	2	0	0	1	0	2	2	1	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	1	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	2	1	0	1	0	0	0	0	1	0	4	0	0	0
Circular Logic	4	1	1	2	1	5	2	4	2	7	6	2	1	2	1	1	3	2	2	0	3	10	4	5	2	3	2	1	1	0	0	1	3	1	0	0	7	0	5	4	6	2	5	0	1	4	3	4	2	4	1	4	7	0	3	3	4	9	1	2	1	2	0	3	0	5	2	0	5	0	0	1	4	4	2	2	1	2	1	5	0	3	0	0	2	2	0	1	2	4	0	0	2	0	0	2	3	3	0	0	2	0	1	2	1	7	0	1	3	0	2	2	1	2	4	1	2	1	3	0	1	7	1	0	2	6	1	0	2	3	0	1	0	1	1	0	0	1	1	1	0	2	1	1	1	1	1	1	1	6	0	0	0	4	0	1	2	4	0	0	1	2	0	0	2	0	3	9	2	1	0	1	8	1	2	0	0	2	0	0	0	1	1	1	2	2	0	4	1	0	4	2	1	3	3	0	4	1	0	0	2	0	2	2	2	2	3	6	1	1	0	1	0	0	3	0	0	0	0	1	1	0	5	0	0	1	0	0	0	0	1	2	0	2	0	0	3	1	3	2	1	2	8	1	0	3	1	1	1	0	2	1	0	1	4	5	0	2	0	0	2	1	0	0	0	0	0	6	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	12	1	0	2	7	1	0	9	2	1	3	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	3	0	1	1	2	0	3	0	0	4	0	1	0	0	0	0	1	1	2	0	0	1	0	8	0	0	1	0	0	6	0	0	0	4	3	1	0	2	1	0	0	1	0	0	0	0	1	1	2	0	0	0	0	6	0	1	1	0	0	0	0	2	0	0	0	0	1	2	1	1	3	0	0	0	0	2	1	6	0	2	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	3	1	6	0	0	1	1	0	0	1	0	3	1	2	0	1	0	0	0	0	1	0	0	4	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0
My Pear Tree House	6	5	6	4	1	5	14	8	3	4	5	9	3	2	30	1	1	1	9	3	2	4	10	3	3	5	2	5	5	4	3	1	1	5	1	14	1	12	10	4	10	9	2	3	8	5	0	16	1	7	6	2	3	2	0	2	13	6	4	5	6	1	5	0	4	4	2	5	3	1	0	5	5	6	3	4	8	1	3	4	4	5	2	4	3	2	1	4	6	0	3	11	1	3	1	2	9	2	3	3	1	7	0	2	3	9	4	4	2	2	4	1	4	0	9	0	1	0	1	5	0	7	0	5	7	0	7	3	5	0	0	7	19	0	2	3	0	5	0	4	4	2	1	3	2	0	6	3	22	5	4	0	3	4	5	3	0	2	16	2	3	3	3	3	2	0	1	0	3	1	7	3	1	2	1	0	4	3	2	1	4	4	5	3	4	8	2	2	1	3	2	3	1	2	0	6	3	4	3	2	2	2	5	5	4	4	0	7	3	1	3	2	5	10	0	8	0	3	3	3	1	4	6	6	4	3	5	5	1	4	3	4	1	7	1	1	0	6	5	6	7	0	0	3	4	4	5	0	5	0	4	3	1	4	6	0	2	3	2	6	3	3	3	0	3	1	1	0	1	2	11	3	4	7	1	1	2	0	0	0	0	5	855	0	0	0	3	2	4	1	3	2	2	4	5	1	0	1	3	3	6	2	5	1	1	8	1	1	4	1	3	3	0	0	8	0	0	0	1	3	1	3	1	1	7	3	3	5	1	1	0	1	7	1	2	2	3	1	2	8	4	0	2	0	5	8	3	0	0	1	2	2	2	0	7	0	6	0	2	4	2	5	0	2	8	3	4	4	0	3	10	0	0	3	4	0	2	2	3	0	0	2	0	2	4	1	0	1	1	0	1	2	3	1	0	0	1	1	1	2	0	2	2	3	5	5	1	0	0	3	0	4	9	1	2	3	9	0	1	3	0	0	1	0	0	2	0	0	0	1	1	1	0	3	2	3	3	1	0	1	2	1	2	2	1	4	1	4	0	3	0	0	1	1	0	0	1	3	0	1	2	4	12	1	2	0	1	5	2	3	3	0	1	1	0	3	0	0	0	0	1	1	1	1	1	2	0	4	1	0	0	1	4	2	1	0	3	5	3	5
Woodhaven Ramblings	3	2	0	3	1	2	1	1	1	1	1	1	2	1	1	2	1	1	0	1	4	1	0	1	4	0	2	1	1	1	0	0	1	0	0	2	0	0	2	2	4	0	0	0	0	0	1	0	1	2	0	1	0	1	0	0	1	0	0	0	0	3	1	0	0	1	0	3	2	2	0	2	0	0	1	0	1	2	2	1	0	0	6	0	1	1	0	1	0	2	0	0	1	0	0	1	0	1	0	4	4	2	1	2	2	1	0	0	0	0	1	1	0	0	1	0	0	5	0	0	1	0	0	0	1	0	1	0	0	13	0	2	0	0	0	0	0	1	1	0	1	2	8	1	0	1	3	0	0	1	1	1	0	1	1	0	1	0	1	6	0	0	0	1	0	2	1	5	1	0	1	2	0	0	1	0	1	1	0	2	0	2	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	3	0	1	0	4	4	0	0	0	0	0	2	0	1	8	0	0	2	0	0	0	1	0	0	2	1	0	0	0	1	0	1	1	0	1	3	0	0	0	0	1	1	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	1	1	0	0	2	1	0	1	0	0	0	0	4	1	0	0	2	0	3	0	0	1	2	0	0	2	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	2	4	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	4	0	1	0	0	0	5	0	1	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	0	0	0	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	0
Intelliblog	1	1	2	1	5	0	2	2	2	0	0	1	6	1	2	3	0	2	0	1	1	0	0	2	0	0	5	3	3	1	16	6	2	0	0	5	0	0	0	1	0	0	0	1	3	0	0	4	0	0	1	0	1	3	0	1	1	1	0	1	0	6	1	1	6	1	4	4	0	2	0	0	0	1	2	2	5	0	1	5	5	2	2	5	6	4	1	2	0	3	3	2	3	0	0	3	1	0	0	3	1	0	1	3	2	4	1	1	3	3	6	2	2	1	3	1	1	1	1	2	2	0	0	0	2	0	1	0	0	0	0	1	1	1	3	0	0	0	5	24	2	0	0	4	1	4	2	1	4	3	2	1	0	0	5	2	0	2	2	1	4	0	1	0	0	0	0	0	3	5	3	2	4	2	0	2	0	0	0	2	5	3	1	2	1	0	1	1	0	0	1	0	0	0	3	2	0	0	6	2	0	2	0	2	0	2	0	0	0	2	3	0	1	1	3	2	0	0	0	0	1	3	0	0	0	0	2	3	1	4	0	0	3	0	5	3	1	1	2	1	0	0	0	0	0	0	1	1	2	3	1	11	1	3	3	4	0	1	2	2	0	1	1	1	0	0	1	1	0	1	7	0	0	1	0	0	6	6	0	2	2	0	0	0	14	3	3	1	4	11	0	0	0	2	5	3	0	2	1	12	1	2	0	1	0	4	0	1	6	2	0	1	5	2	2	0	0	2	0	2	0	1	0	0	1	0	3	0	0	1	0	0	0	1	4	0	0	2	3	0	3	1	1	2	0	4	0	2	1	0	0	0	1	0	4	0	0	0	0	1	2	0	1	0	0	0	1	1	0	2	3	0	0	0	0	0	1	2	1	0	4	2	0	0	0	4	1	0	1	0	0	3	0	0	3	3	1	0	0	0	0	3	1	0	0	1	0	1	1	1	0	0	2	3	0	1	0	0	0	0	1	1	1	3	1	1	2	0	0	0	1	0	1	1	2	1	0	1	0	2	0	3	0	0	2	2	3	2	3	0	0	0	0	0	5	1	1	0	1	5	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	3	0	0	8	0	1	0	1	2	1	1	1	0	1	0	3	0	0
Downtown Elgin	1	0	1	0	0	2	0	0	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	4	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	2	3	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	6	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	0	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	15	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
