Blog	ago	hard	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	start	minutes	already	bad	past	school	everything	myself	show	wanted	later	hope	half	maybe	far	its	able	th	couple	along	anything	doesn	white	dinner	tell	side	remember	trying	red	hot	finally	kids	book	might	must	decided	working	probably	between	favorite	nothing	hand	kind	coming	weeks	eat	enjoy	cool	free	beautiful	someone	yesterday	sunday	stuff	soon	oh	picture	less	point	seems	live	add	ready	saw	large	head	won	man	under	second	name	sweet	real	early	birthday	easy	comes	months	summer	green	trip	taking	idea	pictures	outside	watch	yes	told	especially	person	story	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	month	friday	black	hour	sometimes	wasn	fact	believe	perfect	fresh	mom	buy	lots	play	visit	bring	check	wait	lunch	cup	weather	store	needed	however	stop	several	four	cut	children	run	reading	recipe	front	thinking	looks	turn	late	special	bought	rather	local	party	isn	close	thanks	guess	goes	car	taken	wonderful	cream	money	gave	usually	either	line	living	share	ones	asked	sugar	short	others	tried	warm	looked	baby	case	girl	job	list	stay	evening	turned	tomorrow	simple	couldn	change	heart	city	season	haven	anyone	mother	means	walk	face	bed	area	order	young	kitchen	amazing	thank	interesting	chocolate	fine	cheese	monday	loved	spring	town	anyway	table	above	mean	please	christmas	taste	become	inside	tonight	c	felt	feeling	butter	care	reason	talk	gone	fall	behind	eating	knew	heat	etc	gets	heard	seem	books	ask	worth	brought	lost	cake	although	group	five	across	playing	cook	busy	coffee	boy	chicken	perhaps	photo	amp	watching	paper	bread	country	oil	true	given	important	ice	music	ok	spend	st	bowl	nbsp	meal	movie	winter	salt	ground	number	known	door	sun	sister	including	style	extra	afternoon	word	god	cooking	dry	mix	milk	longer	cute	piece	words	dark	clean	wish	low	guy	air	experience	worked	huge	enjoyed	hear	write	sit	rain	works	blue	com	pick	quickly	move	box	wine	talking	bag	class	waiting	eyes	brown	plan	delicious	running	fruit	woman	news	eggs	near	tree	hands	baking	plus	office	garden	american	finished	pieces	company	drink	age	sitting	size	gift	sort	kept	cover	middle	e	note	sleep	wrong	photos	mine	game	added	lovely	child	wouldn	excited	dad	restaurant	street	pm	needs	miss	takes	except	state	cups	egg	ingredients	type	business	simply	hit	break	snow	flour	husband	drive	church	learn	future	parents	fast	says	minute	quick	sauce	due	park	oven	breakfast	forward	learned	moment	serve	certainly	following	completely	lives	recently	dish	matter	road	color	shopping	glass	moved	problem	seeing	b	center	wonder	sense	available	pepper	phone	met	salad	non	happened	whatever	leaves	pan	view	space	girls	deal	men	body	holiday	stand	seemed	song	bottom	art	history	picked	saying	mixture	super	understand	possible	p	form	shop	played	places	women	amount	giving	single	pay	site	french	rice	boys	process	below	bake	crazy	event	price	against	garlic	meet	watched	finish	starting	walking	main	recipes	tea	hold	funny	project	chance	market	served	six	writing	x	soup	juice
A Sailing Journey	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	1	1	0	2	0	0	1	0	3	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	2	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Calm In The Kitchen	1	2	0	14	0	0	2	1	0	3	0	2	0	1	10	1	18	1	0	0	0	8	1	0	6	0	1	5	6	1	1	0	3	1	0	3	3	8	2	1	2	2	3	2	2	0	1	2	0	0	2	1	1	0	2	2	4	5	0	1	2	9	11	0	0	2	1	2	1	2	1	1	2	0	1	0	32	2	0	10	2	2	0	1	0	1	7	0	0	3	4	5	0	0	1	0	2	2	2	0	0	0	0	0	3	0	4	3	4	0	3	1	1	7	0	2	0	1	1	0	8	2	4	1	0	5	1	0	4	3	0	2	1	1	2	1	4	1	0	39	1	2	1	5	1	0	0	5	0	1	1	42	0	1	0	2	0	1	0	1	1	0	3	0	0	1	1	0	0	1	19	0	0	2	0	4	0	1	1	0	28	0	1	0	2	0	0	1	1	0	0	0	0	4	1	5	1	0	0	0	0	3	1	2	1	0	1	0	1	0	0	13	0	0	1	19	0	18	4	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	28	1	2	0	0	1	0	1	1	8	0	0	1	0	0	0	1	0	1	0	1	2	0	2	0	7	0	0	1	21	0	0	11	0	4	3	0	5	1	0	0	3	1	0	0	0	4	0	1	0	0	17	2	0	0	0	1	1	0	1	2	0	1	0	9	1	12	3	0	0	2	0	0	2	1	6	0	0	0	0	2	0	0	0	0	0	0	5	1	0	0	0	0	3	2	0	1	1	0	9	0	5	0	0	0	0	11	0	0	1	11	0	0	0	0	1	2	1	0	0	2	2	0	0	0	3	0	0	0	0	3	0	2	0	2	1	0	0	6	0	0	0	0	2	0	3	2	0	16	7	6	1	0	0	0	0	0	14	3	0	0	0	0	0	1	3	1	1	8	0	0	13	0	0	0	0	4	0	0	1	0	0	5	1	0	2	0	2	0	0	1	0	0	0	0	0	4	0	1	1	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	20	2	1	1	2	1	0	0	0	0	1	0	0	0	4	0	8	0	0	0	10	1	0	0	0	2	0	0	1	0	0	0	5	0	0	1	0	0	0	2	2	0	0	4	0
makarios:  blessed	1	2	4	0	0	0	1	1	1	3	1	2	1	2	1	3	3	0	0	0	1	1	4	1	0	0	2	0	1	1	0	2	0	0	1	0	1	0	1	1	0	0	0	2	0	0	2	0	0	4	0	1	1	0	0	2	2	2	0	1	0	0	2	2	2	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	2	4	1	0	0	4	0	2	1	0	0	0	1	0	1	0	2	0	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	3	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	8	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	2	0	1	0	3	0	0	2	0	0	0	0	1	1	1	0	0	1	0	2	2	2	0	0	1	1	0	0	1	3	0	1	1	1	0	0	0	2	1	1	2	2	1	0	1	0	0	4	0	0	1	0	0	0	2	2	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	1	8	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	9	1	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	2	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	2	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0
Tea Obsession	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	2	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	6	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	3	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	64	1	0	0	0	0	3	0	0	0	1	0
Nirmala's Cooking Corner	2	5	3	4	5	4	3	2	3	2	8	2	3	1	0	3	59	1	5	0	1	6	5	0	3	1	1	9	0	0	5	1	2	1	1	11	4	2	7	7	3	2	2	13	5	0	0	1	3	3	7	5	5	4	7	4	3	1	2	2	24	4	0	4	0	1	1	0	6	1	1	4	9	3	1	1	43	1	1	13	2	2	0	0	1	0	6	3	4	0	9	3	2	4	11	0	1	0	1	5	2	1	0	2	1	0	1	7	1	1	0	0	1	3	1	0	1	3	2	4	1	0	10	1	8	2	2	4	5	17	10	4	4	0	1	4	0	0	4	27	2	14	2	1	3	0	2	7	1	0	1	42	1	1	3	5	1	0	5	2	4	0	2	0	0	2	0	0	1	6	6	1	3	0	0	0	0	1	0	0	22	0	1	6	1	5	1	2	0	1	6	1	3	5	0	9	5	2	0	0	8	0	2	1	0	0	0	0	0	1	2	5	1	2	0	4	6	13	1	0	3	0	4	0	4	4	1	0	19	2	2	1	20	1	0	16	1	3	1	1	2	0	19	2	26	2	3	2	2	0	0	2	4	0	0	0	0	3	4	0	26	1	0	0	3	3	0	2	0	2	4	0	22	1	2	2	1	0	2	2	0	9	0	6	0	6	13	12	2	0	1	0	2	1	2	0	0	0	0	30	7	3	15	4	0	5	0	1	0	1	14	0	0	1	3	3	1	1	6	1	0	0	1	2	1	3	0	2	0	0	0	0	1	2	22	0	4	1	9	1	0	2	1	0	5	6	3	2	2	5	0	0	0	1	1	1	1	0	1	0	7	0	2	1	1	6	0	2	0	10	0	0	1	2	4	2	0	0	1	1	2	2	1	16	2	25	0	0	1	0	1	0	4	0	0	0	1	0	0	1	1	2	5	21	0	0	7	7	1	4	1	9	1	2	1	0	1	32	0	0	7	0	0	1	0	0	0	1	1	0	7	15	0	0	2	8	1	5	0	13	0	1	0	1	0	0	0	1	0	0	3	0	0	4	2	3	1	1	1	2	1	0	0	2	0	2	0	0	0	0	0	32	0	3	1	7	0	0	1	1	13	0	0	0	1	3	0	13	0	2	0	0	0	0	3	0	0	3	1	3
The Adventure's of Seals	0	1	0	0	0	1	0	0	0	1	1	0	0	5	0	2	1	0	0	0	0	0	4	1	0	0	2	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
steeped insanity	2	0	0	0	2	0	5	1	0	1	0	0	0	0	2	1	0	2	2	0	0	0	1	1	5	0	0	0	0	1	1	1	0	0	1	0	0	1	6	0	0	1	2	0	5	1	1	1	2	2	1	0	0	0	3	1	3	2	0	2	3	0	1	1	2	0	1	2	0	1	0	3	0	0	2	0	0	1	0	0	1	0	0	0	0	0	3	0	2	0	0	0	2	2	1	1	0	1	1	0	1	1	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	1	1	3	2	3	5	0	0	0	2	4	0	0	2	2	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	1	0	0	3	1	1	0	1	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	3	2	0	1	0	0	1	0	1	0	0	0	0	0	4	0	0	1	1	0	0	0	1	0	9	2	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	2	1	0	3	0	2	1	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	2	0	1	2	2	0	0	1	0	1	0	2	0	0	0	0	0	0	0	4	0	2	0	0	0	0	1	0	1	0	0	0	3	0	1	0	0	0	0	0	2	2	0	0	0	4	0	0	1	1	1	0	0	0	0	1	0	1	0	0	2	0	0	4	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	6	1	0	0	0	1	0	0	0	2	1	0	0	2	2	1	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	2	1	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	1	0	2	0	0	1	1	0	0	0	4	1	0	0	0	0	0
Circular Logic	1	4	1	2	1	5	2	4	2	7	6	2	1	2	1	3	1	2	2	3	10	0	4	2	5	2	1	1	3	0	0	3	1	1	0	7	5	0	4	6	0	2	5	0	1	4	3	4	4	1	2	4	7	0	3	4	3	9	1	1	2	2	3	0	0	5	0	2	5	0	1	0	4	4	2	2	1	1	2	0	3	5	0	0	2	2	0	1	4	0	2	0	0	2	3	0	2	3	0	2	0	0	1	1	7	2	0	1	3	0	2	2	1	2	4	1	2	1	3	0	1	1	0	2	7	6	1	2	0	0	3	1	0	1	1	0	1	0	0	1	1	1	2	1	1	1	1	1	1	0	6	0	0	4	0	1	4	2	0	1	0	0	2	2	0	3	0	9	2	0	1	8	1	1	2	2	0	0	0	0	0	1	1	2	1	2	1	0	4	4	0	2	3	1	3	0	4	1	2	0	0	0	2	2	2	3	2	6	1	1	0	1	0	0	0	0	1	0	3	0	0	1	5	0	0	1	0	0	0	0	1	0	0	2	2	0	3	2	3	1	8	2	1	1	0	3	1	1	2	1	1	0	0	1	0	4	5	2	2	0	0	1	0	0	0	0	0	0	0	6	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	12	1	0	2	1	1	7	9	2	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	3	0	1	2	1	0	3	4	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	1	8	1	0	0	0	0	0	6	4	0	1	0	3	2	1	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	6	1	1	0	0	2	0	0	0	0	0	1	0	1	2	1	0	0	0	2	1	3	0	0	0	2	0	6	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	6	3	0	1	0	1	1	0	1	0	0	3	1	0	0	2	0	0	0	4	1	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	0	0	1	1	1	0	0	0	0	0	1	2	0	0
My Pear Tree House	5	6	6	4	1	5	14	8	3	4	5	9	3	2	30	1	1	1	9	2	4	3	10	3	3	2	5	5	5	4	3	1	1	5	1	1	10	12	4	10	14	9	2	3	8	5	0	16	7	6	1	2	3	2	0	13	2	6	4	6	5	1	0	5	4	4	5	2	3	1	5	0	5	6	3	4	8	3	1	4	5	4	2	4	2	3	1	4	0	3	6	3	11	1	9	1	2	2	3	1	3	7	3	0	9	2	4	4	2	2	4	1	4	0	9	0	1	0	1	5	0	0	5	7	7	0	7	5	3	0	0	7	19	0	2	3	5	0	4	4	0	1	2	3	2	0	6	3	22	4	5	3	0	4	5	3	2	0	16	3	2	3	3	2	3	1	0	0	3	7	1	1	3	2	1	3	4	0	2	1	4	4	5	4	3	8	1	2	2	2	3	3	0	1	2	6	3	4	2	3	2	2	5	5	4	0	4	7	3	1	3	2	10	5	3	8	3	0	0	3	4	1	6	6	4	3	5	5	1	4	3	1	1	7	4	1	5	6	0	6	0	0	7	3	4	4	5	0	4	3	5	1	0	4	2	6	0	3	3	2	6	3	0	3	3	2	1	1	1	0	1	3	11	4	7	2	1	0	0	0	0	5	855	0	0	3	4	0	2	1	2	3	2	5	4	0	1	3	1	6	2	3	8	5	1	1	1	4	8	1	3	0	0	1	0	3	0	0	3	1	1	3	7	1	1	3	3	1	5	1	0	1	7	2	1	3	0	2	2	1	4	8	0	5	2	0	3	1	8	0	2	2	0	2	7	6	0	2	0	4	8	2	0	5	2	4	3	4	0	0	10	3	3	0	0	2	4	2	3	0	2	0	4	1	0	2	0	1	1	0	1	1	2	3	1	0	1	0	1	2	0	2	2	5	3	0	5	1	0	3	9	1	4	3	9	0	2	1	0	3	0	0	1	0	2	0	0	0	1	1	2	0	1	0	3	3	3	0	1	1	2	1	2	2	1	4	4	1	3	0	0	0	0	0	1	1	3	1	0	12	1	1	2	4	2	5	2	0	1	3	1	3	0	0	3	0	1	0	1	2	1	0	1	0	1	0	1	1	4	0	1	2	0	3	1	0	4	5	3	5
Woodhaven Ramblings	2	3	0	3	1	2	1	1	1	1	1	1	2	1	1	1	2	1	0	4	1	1	0	4	1	2	1	1	0	1	0	1	0	0	0	0	2	0	2	4	2	0	0	0	0	0	1	0	2	0	1	1	0	1	0	1	0	0	0	0	0	3	0	1	0	1	3	0	2	2	2	0	0	0	1	0	1	2	2	0	0	1	6	0	1	1	0	1	2	0	0	0	0	1	0	0	1	1	0	4	4	2	2	1	1	2	0	0	0	0	1	1	0	0	1	0	0	5	0	0	0	1	0	1	0	0	1	0	0	0	13	2	0	0	0	0	1	0	1	0	1	8	2	1	0	1	3	0	0	1	1	0	1	1	1	0	0	1	1	0	6	0	0	0	1	1	2	5	1	1	0	0	2	0	1	1	1	0	0	2	0	2	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	3	1	0	1	0	4	4	0	0	2	0	1	0	0	0	0	8	0	2	0	0	0	1	0	0	2	0	1	0	1	0	1	0	0	1	0	3	1	0	0	0	1	1	0	0	1	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	1	0	0	1	2	1	0	0	0	0	1	0	0	1	4	2	0	3	0	0	0	1	0	0	0	2	2	0	0	0	2	0	1	1	0	0	1	0	0	0	0	2	0	0	4	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	0	0	3	0	5	0	4	0	0	0	1	0	0	1	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	3	2	0	0	0	0	2	0	0	0
Intelliblog	2	1	2	1	5	0	2	2	2	0	0	1	6	1	2	0	3	2	0	1	0	1	0	0	2	5	3	3	0	1	16	2	6	0	0	0	0	0	1	0	5	0	0	1	3	0	0	4	0	1	0	0	1	3	0	1	1	1	0	0	1	6	1	1	6	1	4	4	0	2	0	0	0	1	2	2	5	2	0	5	3	5	2	5	4	6	1	2	3	0	0	3	3	3	1	0	3	0	0	1	3	0	2	1	4	3	1	1	3	3	6	2	2	1	3	1	1	1	1	2	0	2	0	2	0	0	1	0	0	0	0	1	1	1	3	0	0	0	2	24	5	0	0	4	1	4	2	2	4	2	3	0	1	0	5	2	2	0	2	4	1	1	0	0	0	0	0	0	3	3	5	4	2	2	0	0	0	2	0	2	5	3	1	1	2	0	0	1	1	1	0	0	3	0	0	2	0	0	0	6	2	2	0	2	2	0	0	0	0	2	3	0	1	1	0	2	0	0	3	0	3	1	0	0	0	0	2	3	1	4	0	3	3	0	0	5	3	2	1	1	0	0	0	0	0	0	1	1	1	11	2	1	3	3	0	3	4	0	1	2	2	1	1	0	1	1	0	0	1	1	0	0	7	0	1	6	0	6	0	2	2	0	0	0	14	3	4	3	1	11	0	0	0	5	2	0	3	12	2	1	2	1	4	0	0	0	1	6	2	1	0	5	2	2	0	1	2	0	2	0	0	1	1	0	0	0	3	0	0	0	0	1	0	4	1	0	1	0	3	2	3	0	2	0	1	1	0	0	4	2	0	0	0	1	4	0	0	0	0	1	0	2	1	0	0	1	0	1	0	0	3	2	0	0	0	1	0	2	1	0	2	0	0	4	4	0	0	1	0	1	0	0	3	0	0	3	1	3	0	3	0	0	1	0	0	1	1	0	1	1	2	3	0	1	0	0	0	1	1	0	1	0	0	1	1	3	0	0	0	1	2	2	0	1	1	1	0	0	2	1	0	3	0	0	2	3	2	3	0	3	1	5	0	0	0	1	0	0	1	0	5	2	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	8	0	0	3	0	0	0	0	1	1	1	0	1	2	0	0	1	1	3	0	0
Downtown Elgin	0	1	1	0	0	2	0	0	2	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	4	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0	3	2	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	3	0	0	0	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	15	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	1	0	0	0	0	0	0	0
